update,critic_loss,actor_loss
100,1.8946524858474731,1.170365810394287
200,1.82645845413208,1.1062480211257935
300,1.7576528787612915,1.0063838958740234
400,1.7029385566711426,0.925977885723114
500,2.0664100646972656,0.7306351661682129
600,2.4766969680786133,0.7684842348098755
700,1.63694429397583,0.8001072406768799
800,1.9900176525115967,0.7121307849884033
900,1.535355567932129,0.6393324136734009
1000,1.5803368091583252,0.6448674201965332
1100,1.3195536136627197,0.6399922966957092
1200,2.0053253173828125,0.6513106822967529
1300,1.7724121809005737,0.6975046396255493
1400,1.2522066831588745,0.6447520852088928
1500,1.904334306716919,0.6481448411941528
1600,1.5551605224609375,0.6457123756408691
1700,1.416239857673645,0.6046038269996643
1800,1.3631765842437744,0.6415342688560486
1900,2.1636362075805664,0.5816836357116699
2000,1.7330594062805176,0.7007375955581665
2100,1.4197235107421875,0.6108971834182739
2200,1.5463917255401611,0.6828967332839966
2300,1.4642512798309326,0.5796468257904053
2400,1.3071742057800293,0.6186348795890808
2500,1.621482014656067,0.5301880240440369
2600,1.6593672037124634,0.490963339805603
2700,1.493402361869812,0.5721343755722046
2800,1.1385507583618164,0.5109513998031616
2900,1.6717529296875,0.43682223558425903
3000,1.2738635540008545,0.5582273006439209
3100,1.4677823781967163,0.5965054631233215
3200,1.3485958576202393,0.5319519639015198
3300,1.4757227897644043,0.4928799271583557
3400,1.5508382320404053,0.5830526351928711
3500,1.2688809633255005,0.5071153044700623
3600,1.5914278030395508,0.563317596912384
3700,1.5731308460235596,0.5294914841651917
3800,1.2431528568267822,0.5612804889678955
3900,1.2291569709777832,0.4849770963191986
4000,0.9963562488555908,0.5000507831573486
4100,1.2307558059692383,0.5311524271965027
4200,1.5120394229888916,0.531501293182373
4300,1.473393201828003,0.5634015202522278
4400,1.2832465171813965,0.5098957419395447
4500,1.555907964706421,0.4951763153076172
4600,1.1256945133209229,0.5437523126602173
4700,1.1944537162780762,0.5243789553642273
4800,1.5591557025909424,0.529505729675293
4900,1.080531358718872,0.51399165391922
5000,1.135680079460144,0.49817222356796265
5100,1.1891528367996216,0.4969431161880493
5200,1.4101696014404297,0.5397104620933533
5300,1.3537485599517822,0.5070749521255493
5400,1.0400657653808594,0.43027594685554504
5500,0.9199482202529907,0.45858317613601685
5600,1.2706196308135986,0.4295807480812073
5700,1.4392728805541992,0.5218874216079712
5800,1.0460745096206665,0.533951461315155
5900,1.2247499227523804,0.49430835247039795
6000,0.9527822136878967,0.4816663861274719
6100,1.6077065467834473,0.47783350944519043
6200,1.076491355895996,0.4858217239379883
6300,1.215282917022705,0.469261109828949
6400,1.0455058813095093,0.5173327922821045
6500,0.8961621522903442,0.5008401870727539
6600,1.1981983184814453,0.482175350189209
6700,1.3283971548080444,0.48748910427093506
6800,1.1570417881011963,0.4661194384098053
6900,1.4376319646835327,0.4255182147026062
7000,1.1831419467926025,0.4755997657775879
7100,1.1086955070495605,0.45589175820350647
7200,0.9477480053901672,0.47196805477142334
7300,1.2489013671875,0.45879220962524414
7400,1.1503612995147705,0.4326779544353485
7500,1.1531281471252441,0.4281715154647827
7600,1.4524285793304443,0.4093960225582123
7700,1.3371756076812744,0.4052385687828064
7800,1.2243635654449463,0.42212629318237305
7900,1.095696210861206,0.41533511877059937
8000,1.3618240356445312,0.5100975036621094
8100,1.3919756412506104,0.4156392216682434
8200,0.910411536693573,0.4665820300579071
8300,0.970949649810791,0.4821660816669464
8400,1.12595796585083,0.48957282304763794
8500,0.8273060321807861,0.42856746912002563
8600,0.9786578416824341,0.4534341096878052
8700,1.188685417175293,0.4177238345146179
8800,1.2386534214019775,0.445613294839859
8900,1.433924674987793,0.47106271982192993
9000,1.188314437866211,0.48320692777633667
9100,0.9387940764427185,0.4194357395172119
9200,1.102702260017395,0.5314683318138123
9300,1.1928966045379639,0.5270381569862366
9400,0.9129974246025085,0.4777437746524811
9500,1.4856255054473877,0.5552203059196472
9600,1.0242624282836914,0.41857582330703735
9700,1.03145432472229,0.47662830352783203
9800,0.989204466342926,0.4634934067726135
9900,1.1706658601760864,0.4962271451950073
10000,0.9162715673446655,0.41038793325424194
